Student ID:         Final Average       

1133                86.00               
1145                45.00               
1209                76.00               
1731                80.33               
1878                83.33               
1926                64.33               
3020                85.00               
3044                81.67               
3221                69.67               
3309                81.67               
3321                73.33               
3415                79.00               
4500                79.00               
4691                74.33               
5574                89.67               
5673                80.67               
5880                58.67               
6002                91.33               
6071                76.00               
8823                84.67               
8883                81.67               
9213                73.00               
9901                93.33               
9971                77.00               
9999                75.33               


Class Average: 77.60
